"MatchID","LeagueCode","Result","ModelPick","MarketFavorite","Correct","ActualUpset","AIScore","Confidence","UpsetIndex"
"FAI-b74cd40b8df061e0713a89c0","JPN","A","H","H","False","True","66.6552105374602","82","33.3447894625398"
"FAI-fc0c1406e0696bb2c410404a","JPN","A","A","H","True","True","46.2920196549726","38","72.7939554958218"
"FAI-2fc1ba257d08a9cb6f8991ad","JPN","D","H","H","False","True","47.1831601095444","36","52.8168398904556"
"FAI-769d70cf6d698a5fc5ac1b87","JPN","H","H","H","True","False","58.2261686161274","66","41.7738313838726"
"FAI-79bd66dc5ed92c10896a9399","JPN","H","H","H","True","False","57.9213043416903","61","42.0786956583097"
"FAI-439440948310e9d719545dac","JPN","H","A","H","False","False","35.2213547863806","5","68.0914845074943"
"FAI-0e7623079013a6707c8754b2","JPN","H","A","A","False","True","40.8443429619227","17","59.1556570380773"
"FAI-663aee2b23e19abc5e7fc4b7","JPN","A","H","H","False","True","57.7633414927552","58","42.2366585072448"
"FAI-4b13ac1583d094502c138330","JPN","H","A","H","False","False","46.4763745012172","35","75.3470805240657"
"FAI-06740f884c051fcda87cc0e5","JPN","D","H","A","False","True","41.791604403821","25","70.8490712825991"
"FAI-b5d5aa24fd136dc7590f653c","JPN","H","H","H","True","False","50.248299200854","43","49.751700799146"
"FAI-0f28ae1e3b7f7ba839b7a74e","JPN","H","A","A","False","True","43.8221800624906","28","56.1778199375094"
"FAI-1aee30f17a0b2067681d750d","JPN","A","A","A","True","False","43.7367054481817","23","56.2632945518183"
"FAI-a1c202cbd5c95fad8671dc5a","JPN","H","A","H","False","False","48.8095499566843","32","81.5175790222494"
"FAI-51ecfadf3cb34629e2453047","JPN","H","H","H","True","False","48.2025512224697","27","51.7974487775303"
"FAI-9894d3ae313a293d80e27318","JPN","H","A","A","False","True","55.0301857279834","56","44.9698142720166"
"FAI-2179aab4b1b592cb5b883d1d","JPN","H","H","H","True","False","51.3963245985003","52","48.6036754014997"
"FAI-5265264c36b4d51f9cebd3ee","JPN","H","A","H","False","False","45.7755421174119","33","70.8652436759403"
"FAI-47a0339e771e47f1c0236f18","JPN","A","H","H","False","True","38.147099409328","10","61.852900590672"
"FAI-a3e758a89cec1f1012f8fec9","JPN","A","H","H","False","True","41.2238810698041","23","58.7761189301959"
"FAI-ec5d3660433d8001d514ae4d","JPN","D","A","H","False","True","41.8522329175939","23","72.0661143726898"
"FAI-53c310170f9f9cbc0fd67b8e","JPN","A","A","H","True","True","39.8644250801322","18","70.769509788271"
"FAI-b1d774423e3b922b1a20c35f","JPN","H","H","H","True","False","40.5416255292552","13","59.4583744707448"
"FAI-a95aefb898d9c4cc54e199ea","JPN","A","A","A","True","False","58.958940817243","67","41.041059182757"
"FAI-b966ebabe7bed036f52a2458","JPN","H","H","H","True","False","47.6243729104374","41","52.3756270895626"
"FAI-aa9a662e152f4c945974c7c0","JPN","H","H","H","True","False","38.9875103708801","16","61.0124896291199"
"FAI-30f4885cb5c20f7907e34261","JPN","H","H","H","True","False","37.450055615336","9","62.549944384664"
"FAI-ffabb77bf89d23c919408733","JPN","H","H","H","True","False","36.7367395857634","1","63.2632604142366"
"FAI-31cec30d60dd6bf99c619356","JPN","H","A","A","False","True","50.2409001225824","47","49.7590998774176"
"FAI-4dc10c0a7e24d027b8fe2a05","JPN","H","A","H","False","False","39.1714539467351","12","66.8551866685795"
"FAI-13f61de208d00eaf06455f5b","JPN","A","H","H","False","True","59.2851926533184","64","40.7148073466816"
"FAI-f2ec9b171338c507bcfcfc8d","JPN","D","A","A","False","True","45.4929349475213","32","54.5070650524787"
"FAI-61978adfa64e775752278beb","JPN","H","H","A","True","True","39.9773732775824","17","68.6679686273176"
"FAI-151c0d7eb5d33cced7420fb8","JPN","A","H","H","False","True","48.7367934501042","38","51.2632065498958"
"FAI-091b5b29225e78144686793e","JPN","A","H","H","False","True","47.8481123154271","43","52.1518876845729"
"FAI-db189ac11473ebaff20f26b1","JPN","A","H","H","False","True","53.4266862260123","56","46.5733137739877"
"FAI-893c295c23ad0b0e4bbe7961","JPN","H","H","H","True","False","49.554824472981","42","50.445175527019"
"FAI-c73062742ab57b9cf9ea75f1","JPN","A","A","H","True","True","44.1689723300491","32","71.6620282622954"
"FAI-5c84315c9f7793b20f6aea84","JPN","D","H","H","False","True","38.4179294886211","8","61.5820705113789"
"FAI-dd359f79fb9941724c882e5c","JPN","A","H","H","False","True","48.7498913715971","46","51.2501086284029"
"FAI-974ad4e0fa981982a333b2e5","JPN","H","H","A","True","True","46.8401977092994","35","70.4223093268761"
"FAI-b8d7e8713042d88ade68b2a5","JPN","A","H","A","False","False","35.3595221500452","2","69.566292962659"
"FAI-cc54289c50d18a1a3c8d4c6e","JPN","D","A","H","False","True","39.094324051116","15","70.8702883474873"
"FAI-419b6d300bb5d9dd174ed9a2","JPN","A","A","A","True","False","42.4620807151155","26","57.5379192848845"
"FAI-63c98ba813910fb6f8b23d17","JPN","H","H","A","True","True","45.0588731270203","32","71.1600920994845"
"FAI-5c5042d1643d7a3816bc6d91","JPN","D","H","H","False","True","50.4190981129435","39","49.5809018870565"
"FAI-1d97c7c5885f6b7c84344999","JPN","A","H","H","False","True","53.0318279427353","53","46.9681720572647"
"FAI-587c5331cf818a8b62a23d06","JPN","A","H","H","False","True","48.317916107853","40","51.682083892147"
"FAI-924448886d8cdc29cda94f04","JPN","D","H","H","False","True","44.8210312596141","32","55.1789687403859"
"FAI-94cc832c8c449726989dba53","JPN","D","H","H","False","True","49.0866691180986","37","50.9133308819014"
"FAI-9b6b713cf02898b608823a48","JPN","A","A","A","True","False","37.0353310952968","1","62.9646689047032"
"FAI-58bb60f530442cb932e1df7a","JPN","D","A","H","False","True","57.7077256016448","71","80.158582298088"
"FAI-f5c645174884d9ef3d816463","JPN","H","H","H","True","False","54.8614179610479","61","45.1385820389521"
"FAI-16f029e2e10231c5290da3a8","JPN","D","H","H","False","True","54.7167472989597","60","45.2832527010403"
"FAI-2be0cb77c029771cf5f42f53","JPN","A","A","A","True","False","41.2793405523815","21","58.7206594476185"
"FAI-710e0cff1d16e89083913a1c","JPN","H","H","H","True","False","37.4197311976308","7","62.5802688023692"
