"RelativePath","Extension","Bytes","LastWriteUtc","Sha256","ArchiveStatus"
"2026-07-15\2026_worldcup_4matches_analysis.md","md","9553","2026-06-19T13:26:25.0000000Z","a0f82d8975c7e2c92c9d739fa39f4fd6e97342d56a405403148241fe10b3ae80","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\2026世界杯48场全面复盘报告.md","md","14327","2026-06-24T18:42:32.0000000Z","20af3ad26c676c4d0accda6e2216479bde90a8834fe33637956c33be333f16c9","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\2026世界杯48场完整复盘.md","md","7899","2026-06-24T10:59:50.0000000Z","972c3428aaa008657255fa35dfeba070e617a7f8eff2e7780208ab47861186b4","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\2026世界杯48场完整复盘报告.md","md","13457","2026-06-24T11:07:05.0000000Z","86c77ed3ac134af53be90e29dfd55c656fc2a46f5aca5ce46f101d3b8fb1b098","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\2026世界杯4场深度分析_修正框架V2.md","md","11261","2026-06-20T19:44:19.0000000Z","fa6bdc4efba15ce6c45a3a5e26aec8708030274c34b7efce8f02f7f97b6dc608","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\2026世界杯5场详细数据报告.md","md","5012","2026-06-22T20:29:10.0000000Z","137bfba3ecccb12d41936c1cd2e292ae73fb9369d64a11eefba87e22227d7f97","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\2026世界杯6月22日_4场复盘报告.md","md","8269","2026-06-22T08:18:05.0000000Z","2ed26d2e126eb206cbdca19679dba68633e8d22171527c420ff5aebc2b152151","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\2026世界杯6月23日_超深度分析报告.md","md","20914","2026-06-22T07:59:33.0000000Z","80da0d054b91cf5c6b18ae5447a9a99aa844f6da4fc27befb533087b3c4d978b","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\2026世界杯6月23日_初盘深度分析报告.md","md","14512","2026-06-22T09:30:50.0000000Z","f9c9095c8656829a26ff279accd7476f5d6c19cf7d1b99c964fcc8ab1a116d1d","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\2026世界杯6月23日_初盘数据深度分析报告（已验证）.md","md","18906","2026-06-22T10:34:29.0000000Z","23597b626009e0d1a28b8394edb4cfa46dc12ec2f3538dfea56a94c3290e1dec","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
