season,stage,home_team,away_team,home_goals,away_goals,result
2023,Main,Daegu,Suwon FC,2,2,D
2023,Main,Daejeon,Jeju SK,1,0,H
2023,Main,Gwangju FC,Gangwon,1,0,H
2023,Main,Seoul,Jeonbuk,0,2,A
2023,Main,Suwon Bluewings,Pohang,1,0,H
2023,Main,Ulsan HD,Incheon,0,0,D
2023,Main,Gangwon,Daejeon,1,1,D
2023,Main,Jeju SK,Gwangju FC,1,2,A
2023,Main,Incheon,Suwon Bluewings,2,0,H
2023,Main,Jeonbuk,Daegu,1,3,A
2023,Main,Pohang,Ulsan HD,0,0,D
2023,Main,Suwon FC,Seoul,1,1,D
2023,Main,Daegu,Pohang,0,0,D
2023,Main,Gangwon,Incheon,1,1,D
2023,Main,Gwangju FC,Jeonbuk,0,1,A
2023,Main,Suwon FC,Ulsan HD,2,3,A
2023,Main,Daejeon,Suwon Bluewings,3,1,H
2023,Main,Jeju SK,Seoul,1,3,A
2023,Main,Seoul,Gwangju FC,0,1,A
2023,Main,Suwon Bluewings,Daegu,0,1,A
2023,Main,Incheon,Jeju SK,2,1,H
2023,Main,Jeonbuk,Gangwon,1,3,A
2023,Main,Pohang,Suwon FC,2,0,H
2023,Main,Ulsan HD,Daejeon,1,1,D
2023,Main,Jeju SK,Jeonbuk,0,0,D
2023,Main,Ulsan HD,Gwangju FC,0,2,A
2023,Main,Incheon,Pohang,0,2,A
2023,Main,Suwon Bluewings,Seoul,0,1,A
2023,Main,Daegu,Gangwon,1,0,H
2023,Main,Daejeon,Suwon FC,0,1,A
2023,Main,Gwangju FC,Suwon Bluewings,4,0,H
2023,Main,Seoul,Ulsan HD,2,2,D
2023,Main,Daegu,Jeju SK,1,0,H
2023,Main,Gangwon,Pohang,1,1,D
2023,Main,Jeonbuk,Daejeon,1,1,D
2023,Main,Suwon FC,Incheon,1,2,A
2023,Main,Pohang,Daejeon,4,3,H
2023,Main,Gangwon,Suwon FC,1,2,A
2023,Main,Seoul,Daegu,2,2,D
2023,Main,Ulsan HD,Jeonbuk,1,0,H
2023,Main,Incheon,Gwangju FC,2,2,D
2023,Main,Suwon Bluewings,Jeju SK,1,0,H
2023,Main,Daejeon,Seoul,4,3,H
2023,Main,Incheon,Daegu,3,1,H
2023,Main,Pohang,Gwangju FC,1,1,D
2023,Main,Gangwon,Ulsan HD,2,0,H
