team,year,ranking
Brazil,2022,1
Belgium,2022,2
Argentina,2022,3
France,2022,4
England,2022,5
Netherlands,2022,6
Croatia,2022,7
Italy,2022,8
Portugal,2022,9
Spain,2022,10
USA,2022,11
Mexico,2022,12
Morocco,2022,13
Switzerland,2022,14
Germany,2022,15
Uruguay,2022,16
Colombia,2022,17
Denmark,2022,18
Senegal,2022,19
Japan,2022,20
Serbia,2022,21
Poland,2022,22
South Korea,2022,23
Tunisia,2022,24
Cameroon,2022,25
Canada,2022,26
Ecuador,2022,27
Saudi Arabia,2022,28
Ghana,2022,29
Wales,2022,30
Iran,2022,31
Australia,2022,32
Qatar,2022,33
Costa Rica,2022,34
Peru,2022,35
Egypt,2022,36
Germany,2018,1
Brazil,2018,2
Belgium,2018,3
Portugal,2018,4
Argentina,2018,5
Switzerland,2018,6
France,2018,7
Spain,2018,8
England,2018,12
Croatia,2018,18
Uruguay,2018,14
Colombia,2018,16
Denmark,2018,12
Mexico,2018,15
Japan,2018,61
Senegal,2018,27
Iran,2018,37
South Korea,2018,57
Saudi Arabia,2018,67
Australia,2018,36
Tunisia,2018,21
Egypt,2018,45
Morocco,2018,41
Nigeria,2018,48
Poland,2018,8
Iceland,2018,22
Serbia,2018,34
Costa Rica,2018,23
Panama,2018,55
Russia,2018,70
Argentina,2024,1
France,2024,2
England,2024,3
Belgium,2024,4
Brazil,2024,5
Netherlands,2024,6
Portugal,2024,7
Spain,2024,8
Italy,2024,9
Croatia,2024,10
USA,2024,11
Mexico,2024,12
Morocco,2024,13
Colombia,2024,14
Uruguay,2024,15
Japan,2024,16
Senegal,2024,17
Australia,2024,18
Iran,2024,19
South Korea,2024,20
Tunisia,2024,21
Ecuador,2024,22
Saudi Arabia,2024,23
Canada,2024,24
Ghana,2024,25
Qatar,2024,26
Egypt,2024,27
Switzerland,2024,28
Denmark,2024,29
Germany,2024,30
