match_id,date,league_type,season,competition,stage,group,home_team,away_team,home_team_code,away_team_code,home_ranking,away_ranking,home_goals,away_goals,result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_target,away_shots_target,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,home_xg,away_xg,b365_home,b365_draw,b365_away,home_must_win,away_must_win,home_can_draw,away_can_draw,knockout,source,imported_at
2022-11-20_Qatar_Ecuador,2022-11-20,worldcup,2022,FIFA World Cup 2022,group,Group A,Qatar,Ecuador,,,33,27,0,2,A,,,,25,32,8,11,2,3,0,3,0,0,39.0,61.0,0.11,2.11,6.38,4.05,2.03,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-21_England_Iran,2022-11-21,worldcup,2022,FIFA World Cup 2022,group,Group B,England,Iran,,,5,31,6,2,H,,,,123,78,43,27,7,3,2,2,0,0,64.0,36.0,7.31,2.59,2.19,4.18,5.6,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-21_Senegal_Netherlands,2022-11-21,worldcup,2022,FIFA World Cup 2022,group,Group A,Senegal,Netherlands,,,19,6,0,2,A,,,,25,32,8,11,2,3,2,1,0,0,39.0,61.0,0.1,2.47,6.87,3.84,2.39,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-21_USA_Wales,2022-11-21,worldcup,2022,FIFA World Cup 2022,group,Group B,USA,Wales,,,11,30,1,1,D,,,,16,16,5,5,3,3,2,3,0,0,50.0,50.0,1.08,1.02,2.91,3.09,2.53,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-22_Argentina_Saudi Arabia,2022-11-22,worldcup,2022,FIFA World Cup 2022,group,Group C,Argentina,Saudi Arabia,,,3,28,1,2,A,,,,27,32,9,11,3,4,1,2,0,0,42.0,58.0,0.9,2.52,7.14,4.09,1.97,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-22_Denmark_Tunisia,2022-11-22,worldcup,2022,FIFA World Cup 2022,group,Group D,Denmark,Tunisia,,,18,24,0,0,D,,,,5,5,1,1,2,2,0,2,0,0,50.0,50.0,0.1,0.1,2.54,3.25,3.35,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-22_Mexico_Poland,2022-11-22,worldcup,2022,FIFA World Cup 2022,group,Group C,Mexico,Poland,,,12,22,0,0,D,,,,5,5,1,1,2,2,2,0,0,0,50.0,50.0,0.1,0.22,3.25,2.84,2.92,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-22_France_Australia,2022-11-22,worldcup,2022,FIFA World Cup 2022,group,Group D,France,Australia,,,4,32,4,1,H,,,,72,49,25,17,5,3,2,2,0,0,64.0,36.0,4.95,1.34,2.16,3.93,6.74,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-23_Morocco_Croatia,2022-11-23,worldcup,2022,FIFA World Cup 2022,group,Group F,Morocco,Croatia,,,13,7,0,0,D,,,,5,5,1,1,2,2,3,3,0,0,50.0,50.0,0.21,0.1,3.33,3.18,3.04,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-23_Germany_Japan,2022-11-23,worldcup,2022,FIFA World Cup 2022,group,Group E,Germany,Japan,,,15,20,1,2,A,,,,27,32,9,11,3,4,4,2,0,0,42.0,58.0,1.37,2.38,6.9,3.98,1.72,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-23_Spain_Costa Rica,2022-11-23,worldcup,2022,FIFA World Cup 2022,group,Group E,Spain,Costa Rica,,,10,34,7,0,H,,,,153,75,53,26,9,1,4,2,0,0,64.0,36.0,8.22,0.1,1.57,3.68,7.04,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-23_Belgium_Canada,2022-11-23,worldcup,2022,FIFA World Cup 2022,group,Group F,Belgium,Canada,,,2,26,1,0,H,,,,17,15,5,5,3,2,5,2,0,0,58.0,42.0,1.47,0.1,1.59,4.02,6.1,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-24_Switzerland_Cameroon,2022-11-24,worldcup,2022,FIFA World Cup 2022,group,Group G,Switzerland,Cameroon,,,14,25,1,0,H,,,,17,15,5,5,3,2,1,1,0,0,58.0,42.0,1.09,0.1,2.1,3.9,6.81,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-24_Uruguay_Korea Republic,2022-11-24,worldcup,2022,FIFA World Cup 2022,group,Group H,Uruguay,Korea Republic,,,16,,0,0,D,,,,5,5,1,1,2,2,0,1,0,0,50.0,50.0,0.1,0.1,2.57,3.18,3.0,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-24_Portugal_Ghana,2022-11-24,worldcup,2022,FIFA World Cup 2022,group,Group H,Portugal,Ghana,,,9,29,3,2,H,,,,50,42,17,14,4,4,2,3,0,0,58.0,42.0,3.52,2.11,1.58,4.14,6.02,0,0,0,0,0,search_results,2026-06-21 04:23:39
