match_id,home_recent_games,home_recent_goals,home_recent_conceded,home_recent_wins,home_recent_draws,home_recent_losses,away_recent_games,away_recent_goals,away_recent_conceded,away_recent_wins,away_recent_draws,away_recent_losses
2006-06-09_Germany_Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-09_Poland_Ecuador,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-10_England_Paraguay,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-10_Trinidad and Tobago_Sweden,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-10_Argentina_Ivory Coast,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-10_Serbia and Montenegro_Netherlands,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-11_Mexico_Iran,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-11_Angola_Portugal,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-11_Italy_Ghana,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-12_USA_Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-12_Japan_Australia,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-12_Brazil_Croatia,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-13_South Korea_Togo,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-13_France_Switzerland,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-13_Spain_Ukraine,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-14_Tunisia_Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-14_Germany_Poland,1,4,2,1,0,0,1,0,2,0,0,1
2006-06-14_Ecuador_Costa Rica,1,2,0,1,0,0,1,2,4,0,0,1
2006-06-15_England_Trinidad and Tobago,1,1,0,1,0,0,1,0,0,0,1,0
2006-06-15_Sweden_Paraguay,1,0,0,0,1,0,1,0,1,0,0,1
2006-06-15_Argentina_Serbia and Montenegro,1,2,1,1,0,0,1,0,1,0,0,1
2006-06-15_Netherlands_Ivory Coast,1,1,0,1,0,0,1,1,2,0,0,1
2006-06-16_Mexico_Angola,1,3,1,1,0,0,1,0,1,0,0,1
2006-06-16_Portugal_Iran,1,1,0,1,0,0,1,1,3,0,0,1
2006-06-17_Italy_USA,1,2,0,1,0,0,1,0,3,0,0,1
2006-06-17_Czech Republic_Ghana,1,3,0,1,0,0,1,0,2,0,0,1
2006-06-18_Japan_Croatia,1,1,3,0,0,1,1,0,1,0,0,1
2006-06-18_Brazil_Australia,1,1,0,1,0,0,1,3,1,1,0,0
2006-06-18_South Korea_France,1,2,1,1,0,0,1,0,0,0,1,0
2006-06-18_Togo_Switzerland,1,1,2,0,0,1,1,0,0,0,1,0
2006-06-19_Saudi Arabia_Ukraine,1,2,2,0,1,0,1,0,4,0,0,1
2006-06-19_Spain_Tunisia,1,4,0,1,0,0,1,2,2,0,1,0
2006-06-20_Ecuador_Germany,2,5,0,2,0,0,2,5,2,2,0,0
