match_id,home_team_id,away_team_id,league_id,b365_home,b365_draw,b365_away,home_goals,away_goals
GAL_AD._20230401,GAL,AD.,Turkey Super Lig 2022-23,1.4,4.5,6.5,2,0
UMR_KON_20230402,UMR,KON,Turkey Super Lig 2022-23,2.9,3.3,2.25,2,2
GIR_ALA_20230402,GIR,ALA,Turkey Super Lig 2022-23,2.45,3.4,2.7,2,2
GAZ_KAS_20230402,GAZ,KAS,Turkey Super Lig 2022-23,6.02,4.2,2.45,0,3
HAT_SIV_20230402,HAT,SIV,Turkey Super Lig 2022-23,6.81,4.42,1.97,0,3
FEN_BES_20230402,FEN,BES,Turkey Super Lig 2022-23,1.83,3.5,4.0,2,4
IST_KAR_20230403,IST,KAR,Turkey Super Lig 2022-23,3.25,3.3,2.15,0,1
KON_ANT_20230407,KON,ANT,Turkey Super Lig 2022-23,2.25,3.3,3.25,1,1
ANK_IST_20230408,ANK,IST,Turkey Super Lig 2022-23,1.67,3.8,4.75,3,2
KAS_TRA_20230408,KAS,TRA,Turkey Super Lig 2022-23,3.1,3.6,2.15,2,0
SIV_BUY_20230409,SIV,BUY,Turkey Super Lig 2022-23,2.88,3.0,2.55,1,1
AD._GAZ_20230409,AD.,GAZ,Turkey Super Lig 2022-23,2.16,4.09,6.73,3,0
ALA_HAT_20230409,ALA,HAT,Turkey Super Lig 2022-23,1.85,4.09,5.76,3,0
BES_GIR_20230409,BES,GIR,Turkey Super Lig 2022-23,1.4,4.75,6.5,3,1
KAY_UMR_20230410,KAY,UMR,Turkey Super Lig 2022-23,1.85,3.6,3.8,3,1
KAR_FEN_20230410,KAR,FEN,Turkey Super Lig 2022-23,4.5,4.0,1.62,1,2
ANT_ALA_20230414,ANT,ALA,Turkey Super Lig 2022-23,1.85,3.5,4.2,3,1
GAL_KAY_20230414,GAL,KAY,Turkey Super Lig 2022-23,1.3,5.0,8.5,6,0
AD._KAS_20230415,AD.,KAS,Turkey Super Lig 2022-23,1.7,3.8,4.5,5,0
IST_BUY_20230415,IST,BUY,Turkey Super Lig 2022-23,4.33,3.5,1.73,1,0
FEN_ANK_20230415,FEN,ANK,Turkey Super Lig 2022-23,1.33,5.0,8.0,2,1
GIR_SIV_20230416,GIR,SIV,Turkey Super Lig 2022-23,2.5,3.3,2.75,1,0
GAZ_KON_20230416,GAZ,KON,Turkey Super Lig 2022-23,5.46,3.62,1.74,0,3
HAT_KAR_20230416,HAT,KAR,Turkey Super Lig 2022-23,5.81,4.07,1.64,0,3
TRA_BES_20230416,TRA,BES,Turkey Super Lig 2022-23,2.9,3.3,2.4,0,0
ALA_GAL_20230418,ALA,GAL,Turkey Super Lig 2022-23,5.75,4.5,1.5,1,4
KAR_UMR_20230418,KAR,UMR,Turkey Super Lig 2022-23,1.8,4.0,3.8,4,2
IST_ANT_20230419,IST,ANT,Turkey Super Lig 2022-23,3.0,3.4,2.2,3,3
KAY_KAS_20230419,KAY,KAS,Turkey Super Lig 2022-23,2.25,3.3,2.9,0,0
BES_HAT_20230419,BES,HAT,Turkey Super Lig 2022-23,2.47,3.78,6.53,3,0
BUY_FEN_20230419,BUY,FEN,Turkey Super Lig 2022-23,4.0,3.6,1.8,1,2
KON_AD._20230419,KON,AD.,Turkey Super Lig 2022-23,2.38,3.4,2.7,1,2
ANK_GIR_20230420,ANK,GIR,Turkey Super Lig 2022-23,1.91,3.6,3.5,3,1
SIV_TRA_20230420,SIV,TRA,Turkey Super Lig 2022-23,2.63,3.2,2.55,4,1
UMR_BES_20230422,UMR,BES,Turkey Super Lig 2022-23,4.33,3.8,1.67,0,2
KAS_KON_20230423,KAS,KON,Turkey Super Lig 2022-23,2.38,3.6,2.75,1,2
