"MatchID","LotteryMatchID","MatchNumber","SnapshotTime","Market","Handicap","Selection","Odds","SaleStatus","SourceAgency","SourceReference","ImportedAt"
"FAI-e51b2e8d964c4242b11039ec","260715102","周三102","2026-07-15T03:55:00.0000000+08:00","SPF","","H","2.35","OPEN","CHINA_SPORTS_LOTTERY","JCZQ-EV-F4C14C3202FD91434658","2026-07-14T21:00:24.3191496Z"
"FAI-e51b2e8d964c4242b11039ec","260715102","周三102","2026-07-15T03:55:00.0000000+08:00","SPF","","D","2.75","OPEN","CHINA_SPORTS_LOTTERY","JCZQ-EV-F4C14C3202FD91434658","2026-07-14T21:00:24.3391571Z"
"FAI-e51b2e8d964c4242b11039ec","260715102","周三102","2026-07-15T03:55:00.0000000+08:00","SPF","","A","2.94","OPEN","CHINA_SPORTS_LOTTERY","JCZQ-EV-F4C14C3202FD91434658","2026-07-14T21:00:24.3441715Z"
"FAI-e51b2e8d964c4242b11039ec","260715102","周三102","2026-07-15T03:55:00.0000000+08:00","RQSPF","-1","H","5.65","OPEN","CHINA_SPORTS_LOTTERY","JCZQ-EV-F4C14C3202FD91434658","2026-07-14T21:00:24.3591501Z"
"FAI-e51b2e8d964c4242b11039ec","260715102","周三102","2026-07-15T03:55:00.0000000+08:00","RQSPF","-1","D","3.75","OPEN","CHINA_SPORTS_LOTTERY","JCZQ-EV-F4C14C3202FD91434658","2026-07-14T21:00:24.3641505Z"
"FAI-e51b2e8d964c4242b11039ec","260715102","周三102","2026-07-15T03:55:00.0000000+08:00","RQSPF","-1","A","1.46","OPEN","CHINA_SPORTS_LOTTERY","JCZQ-EV-F4C14C3202FD91434658","2026-07-14T21:00:24.3691500Z"
"FAI-e51b2e8d964c4242b11039ec","260715102","周三102","2026-07-15T14:55:00.0000000+08:00","SPF","","H","2.36","OPEN","CHINA_SPORTS_LOTTERY","JCZQ-EV-6E3AEDDA3E5F98583B3E","2026-07-15T07:07:33.7482561Z"
"FAI-e51b2e8d964c4242b11039ec","260715102","周三102","2026-07-15T14:55:00.0000000+08:00","SPF","","D","2.8","OPEN","CHINA_SPORTS_LOTTERY","JCZQ-EV-6E3AEDDA3E5F98583B3E","2026-07-15T07:07:33.7665781Z"
"FAI-e51b2e8d964c4242b11039ec","260715102","周三102","2026-07-15T14:55:00.0000000+08:00","SPF","","A","2.87","OPEN","CHINA_SPORTS_LOTTERY","JCZQ-EV-6E3AEDDA3E5F98583B3E","2026-07-15T07:07:33.7715820Z"
"FAI-e51b2e8d964c4242b11039ec","260715102","周三102","2026-07-15T14:55:00.0000000+08:00","RQSPF","-1","H","5.65","OPEN","CHINA_SPORTS_LOTTERY","JCZQ-EV-6E3AEDDA3E5F98583B3E","2026-07-15T07:07:33.7815758Z"
"FAI-e51b2e8d964c4242b11039ec","260715102","周三102","2026-07-15T14:55:00.0000000+08:00","RQSPF","-1","D","3.8","OPEN","CHINA_SPORTS_LOTTERY","JCZQ-EV-6E3AEDDA3E5F98583B3E","2026-07-15T07:07:33.7865703Z"
"FAI-e51b2e8d964c4242b11039ec","260715102","周三102","2026-07-15T14:55:00.0000000+08:00","RQSPF","-1","A","1.45","OPEN","CHINA_SPORTS_LOTTERY","JCZQ-EV-6E3AEDDA3E5F98583B3E","2026-07-15T07:07:33.7915700Z"
